,Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,B2P Fiscal Year,Individuals Directly Served,Population Estimate 2000m,geometry,pop_sum
338,Uganda - Kibembe - 1008734,Sironko,Kibembe,1008734,Complete,In Service,2019,1791.0,8503.0,"POLYGON ((34.31812 1.2043, 34.31798035707349 1.2014575029304426, 34.31756277313169 1.1986423806615323, 34.31687126973623 1.1958817443596206, 34.31591250644282 1.1932021804614124, 34.3146957166661 1.190629494632046, 34.31323261875677 1.1881884632424315, 34.31153730314752 1.1859025947592543, 34.309626096654405 1.18379390334559, 34.307517405240745 1.1818826968524805, 34.30523153675757 1.1801873812432262, 34.30279050536795 1.1787242833338976, 34.30021781953859 1.1775074935571725, 34.297538255640376 1.1765487302637658, 34.29477761933846 1.1758572268683063, 34.291962497069555 1.1754396429265062, 34.28912 1.1753, 34.28627750293044 1.1754396429265062, 34.28346238066153 1.1758572268683063, 34.28070174435962 1.1765487302637658, 34.278022180461406 1.1775074935571725, 34.27544949463204 1.1787242833338976, 34.27300846324243 1.1801873812432262, 34.27072259475925 1.1818826968524805, 34.26861390334559 1.18379390334559, 34.26670269685248 1.1859025947592543, 34.26500738124322 1.1881884632424315, 34.26354428333389 1.190629494632046, 34.26232749355717 1.1932021804614124, 34.26136873026376 1.1958817443596206, 34.2606772268683 1.1986423806615323, 34.260259642926506 1.2014575029304426, 34.26011999999999 1.2043, 34.260259642926506 1.2071424970695572, 34.2606772268683 1.2099576193384676, 34.26136873026376 1.2127182556403793, 34.26232749355717 1.2153978195385875, 34.26354428333389 1.217970505367954, 34.26500738124322 1.2204115367575683, 34.26670269685248 1.2226974052407455, 34.26861390334559 1.2248060966544099, 34.27072259475925 1.2267173031475194, 34.27300846324243 1.2284126187567737, 34.27544949463204 1.2298757166661023, 34.278022180461406 1.2310925064428273, 34.28070174435962 1.232051269736234, 34.28346238066153 1.2327427731316936, 34.28627750293044 1.2331603570734937, 34.28912 1.2332999999999998, 34.291962497069555 1.2331603570734937, 34.29477761933846 1.2327427731316936, 34.297538255640376 1.232051269736234, 34.30021781953859 1.2310925064428273, 34.30279050536795 1.2298757166661023, 34.30523153675757 1.2284126187567737, 34.307517405240745 1.2267173031475194, 34.309626096654405 1.2248060966544099, 34.31153730314752 1.2226974052407455, 34.31323261875677 1.2204115367575683, 34.3146957166661 1.217970505367954, 34.31591250644282 1.2153978195385875, 34.31687126973623 1.2127182556403793, 34.31756277313169 1.2099576193384676, 34.31798035707349 1.2071424970695572, 34.31812 1.2043))",15301
356,Uganda - Namakhokolo - 1008776,Bududa,Namakhokolo,1008776,Complete,In Service,2018,4000.0,10114.0,"POLYGON ((34.309483 0.978583, 34.30934335707349 0.9757405029304427, 34.30892577313169 0.9729253806615322, 34.30823426973623 0.9701647443596205, 34.30727550644282 0.9674851804614124, 34.3060587166661 0.9649124946320461, 34.30459561875677 0.9624714632424315, 34.30290030314752 0.9601855947592542, 34.300989096654405 0.9580769033455901, 34.298880405240745 0.9561656968524807, 34.29659453675757 0.9544703812432261, 34.29415350536795 0.9530072833338977, 34.29158081953859 0.9517904935571727, 34.288901255640376 0.9508317302637659, 34.28614061933846 0.9501402268683063, 34.283325497069555 0.9497226429265063, 34.280483 0.949583, 34.27764050293044 0.9497226429265063, 34.27482538066153 0.9501402268683063, 34.27206474435962 0.9508317302637659, 34.269385180461406 0.9517904935571727, 34.26681249463204 0.9530072833338977, 34.264371463242426 0.9544703812432261, 34.26208559475925 0.9561656968524807, 34.25997690334559 0.9580769033455901, 34.258065696852476 0.9601855947592542, 34.25637038124322 0.9624714632424315, 34.25490728333389 0.9649124946320461, 34.25369049355717 0.9674851804614124, 34.25273173026376 0.9701647443596205, 34.2520402268683 0.9729253806615322, 34.251622642926506 0.9757405029304427, 34.25148299999999 0.978583, 34.251622642926506 0.9814254970695573, 34.2520402268683 0.9842406193384677, 34.25273173026376 0.9870012556403793, 34.25369049355717 0.9896808195385876, 34.25490728333389 0.9922535053679539, 34.25637038124322 0.9946945367575685, 34.258065696852476 0.9969804052407457, 34.25997690334559 0.9990890966544098, 34.26208559475925 1.0010003031475194, 34.264371463242426 1.0026956187567737, 34.26681249463204 1.0041587166661023, 34.269385180461406 1.0053755064428274, 34.27206474435962 1.006334269736234, 34.27482538066153 1.0070257731316936, 34.27764050293044 1.0074433570734938, 34.280483 1.007583, 34.283325497069555 1.0074433570734938, 34.28614061933846 1.0070257731316936, 34.288901255640376 1.006334269736234, 34.29158081953859 1.0053755064428274, 34.29415350536795 1.0041587166661023, 34.29659453675757 1.0026956187567737, 34.298880405240745 1.0010003031475194, 34.300989096654405 0.9990890966544098, 34.30290030314752 0.9969804052407457, 34.30459561875677 0.9946945367575685, 34.3060587166661 0.9922535053679539, 34.30727550644282 0.9896808195385876, 34.30823426973623 0.9870012556403794, 34.30892577313169 0.9842406193384677, 34.30934335707349 0.9814254970695573, 34.309483 0.978583))",34087
360,Uganda - Namawukulu - 1008780,Bududa,Namawukulu,1008780,Complete,In Service,2018,1300.0,11363.0,"POLYGON ((34.4306731 1.004485, 34.43053345707349 1.0016425029304428, 34.43011587313169 0.9988273806615323, 34.42942436973623 0.9960667443596206, 34.42846560644282 0.9933871804614125, 34.4272488166661 0.9908144946320462, 34.42578571875677 0.9883734632424316, 34.42409040314752 0.9860875947592543, 34.422179196654405 0.9839789033455902, 34.420070505240744 0.9820676968524807, 34.41778463675757 0.9803723812432262, 34.41534360536795 0.9789092833338978, 34.41277091953859 0.9776924935571728, 34.410091355640375 0.976733730263766, 34.40733071933846 0.9760422268683064, 34.404515597069555 0.9756246429265064, 34.4016731 0.975485, 34.39883060293044 0.9756246429265064, 34.39601548066153 0.9760422268683064, 34.39325484435962 0.976733730263766, 34.390575280461405 0.9776924935571728, 34.38800259463204 0.9789092833338978, 34.385561563242426 0.9803723812432262, 34.38327569475925 0.9820676968524807, 34.38116700334559 0.9839789033455902, 34.379255796852476 0.9860875947592543, 34.37756048124322 0.9883734632424316, 34.37609738333389 0.9908144946320462, 34.37488059355717 0.9933871804614125, 34.37392183026376 0.9960667443596206, 34.3732303268683 0.9988273806615323, 34.372812742926506 1.0016425029304428, 34.37267309999999 1.004485, 34.372812742926506 1.0073274970695574, 34.3732303268683 1.0101426193384677, 34.37392183026376 1.0129032556403794, 34.37488059355717 1.0155828195385876, 34.37609738333389 1.018155505367954, 34.37756048124322 1.0205965367575685, 34.379255796852476 1.0228824052407457, 34.38116700334559 1.02499109665441, 34.38327569475925 1.0269023031475195, 34.385561563242426 1.0285976187567738, 34.38800259463204 1.0300607166661024, 34.390575280461405 1.0312775064428275, 34.39325484435962 1.0322362697362342, 34.39601548066153 1.0329277731316937, 34.39883060293044 1.0333453570734938, 34.4016731 1.033485, 34.404515597069555 1.0333453570734938, 34.40733071933846 1.0329277731316937, 34.410091355640375 1.0322362697362342, 34.41277091953859 1.0312775064428275, 34.41534360536795 1.0300607166661024, 34.41778463675757 1.0285976187567738, 34.420070505240744 1.0269023031475195, 34.422179196654405 1.02499109665441, 34.42409040314752 1.022882405240746, 34.42578571875677 1.0205965367575685, 34.4272488166661 1.018155505367954, 34.42846560644282 1.0155828195385876, 34.42942436973623 1.0129032556403794, 34.43011587313169 1.0101426193384677, 34.43053345707349 1.0073274970695574, 34.4306731 1.004485))",23080
387,Uganda - Tongole - 1008762,Manafwa,Tongole,1008762,Complete,In Service,2019,3000.0,0.0,"POLYGON ((34.298100000000005 1.937883, 34.29796035707349 1.9350405029304427, 34.297542773131696 1.9322253806615324, 34.29685126973624 1.9294647443596207, 34.295892506442826 1.9267851804614125, 34.294675716666106 1.924212494632046, 34.293212618756776 1.9217714632424316, 34.29151730314752 1.9194855947592544, 34.28960609665441 1.91737690334559, 34.28749740524075 1.9154656968524806, 34.28521153675757 1.9137703812432263, 34.28277050536796 1.9123072833338977, 34.28019781953859 1.9110904935571726, 34.27751825564038 1.910131730263766, 34.274757619338466 1.9094402268683064, 34.27194249706956 1.9090226429265063, 34.2691 1.908883, 34.26625750293044 1.9090226429265063, 34.26344238066154 1.9094402268683064, 34.26068174435962 1.910131730263766, 34.25800218046141 1.9110904935571726, 34.25542949463205 1.9123072833338977, 34.25298846324243 1.9137703812432263, 34.250702594759254 1.9154656968524806, 34.24859390334559 1.91737690334559, 34.24668269685248 1.9194855947592544, 34.24498738124323 1.9217714632424316, 34.2435242833339 1.924212494632046, 34.24230749355718 1.9267851804614125, 34.241348730263766 1.9294647443596207, 34.24065722686831 1.9322253806615324, 34.24023964292651 1.9350405029304427, 34.2401 1.937883, 34.24023964292651 1.9407254970695573, 34.24065722686831 1.9435406193384677, 34.241348730263766 1.9463012556403794, 34.24230749355718 1.9489808195385876, 34.2435242833339 1.951553505367954, 34.24498738124323 1.9539945367575684, 34.24668269685248 1.9562804052407456, 34.24859390334559 1.95838909665441, 34.250702594759254 1.9603003031475195, 34.25298846324243 1.9619956187567738, 34.25542949463205 1.9634587166661024, 34.25800218046141 1.9646755064428274, 34.26068174435962 1.9656342697362341, 34.26344238066154 1.9663257731316937, 34.26625750293044 1.9667433570734938, 34.2691 1.966883, 34.27194249706956 1.9667433570734938, 34.274757619338466 1.9663257731316937, 34.27751825564038 1.9656342697362341, 34.28019781953859 1.9646755064428274, 34.28277050536796 1.9634587166661024, 34.28521153675757 1.9619956187567738, 34.28749740524075 1.9603003031475195, 34.28960609665441 1.95838909665441, 34.29151730314752 1.9562804052407459, 34.293212618756776 1.9539945367575684, 34.294675716666106 1.951553505367954, 34.295892506442826 1.9489808195385876, 34.29685126973624 1.9463012556403794, 34.297542773131696 1.9435406193384677, 34.29796035707349 1.9407254970695573, 34.298100000000005 1.937883))",1077
413,Uganda - Kihumuro B-kitomwire - 1022982,Kibaale,Kihumuro B-kitomwire,1022982,Complete,In Service,2021,9924.0,,"POLYGON ((30.90888 1.14271, 30.908740357073494 1.1398675029304426, 30.908322773131694 1.1370523806615322, 30.907631269736235 1.1342917443596205, 30.906672506442828 1.1316121804614123, 30.9054557166661 1.129039494632046, 30.903992618756774 1.1265984632424315, 30.90229730314752 1.1243125947592543, 30.900386096654408 1.12220390334559, 30.898277405240744 1.1202926968524805, 30.895991536757567 1.1185973812432262, 30.893550505367955 1.1171342833338975, 30.890977819538588 1.1159174935571725, 30.88829825564038 1.1149587302637658, 30.885537619338468 1.1142672268683063, 30.882722497069558 1.1138496429265061, 30.87988 1.11371, 30.877037502930442 1.1138496429265061, 30.874222380661532 1.1142672268683063, 30.87146174435962 1.1149587302637658, 30.868782180461412 1.1159174935571725, 30.866209494632045 1.1171342833338975, 30.863768463242433 1.1185973812432262, 30.861482594759256 1.1202926968524805, 30.859373903345592 1.12220390334559, 30.85746269685248 1.1243125947592543, 30.855767381243226 1.1265984632424315, 30.8543042833339 1.129039494632046, 30.853087493557172 1.1316121804614123, 30.852128730263765 1.1342917443596205, 30.851437226868306 1.1370523806615322, 30.851019642926506 1.1398675029304426, 30.85088 1.14271, 30.851019642926506 1.1455524970695572, 30.851437226868306 1.1483676193384675, 30.852128730263765 1.1511282556403792, 30.853087493557172 1.1538078195385875, 30.8543042833339 1.156380505367954, 30.855767381243226 1.1588215367575683, 30.85746269685248 1.1611074052407455, 30.859373903345592 1.1632160966544098, 30.861482594759256 1.1651273031475193, 30.863768463242433 1.1668226187567736, 30.866209494632045 1.1682857166661023, 30.868782180461412 1.1695025064428273, 30.87146174435962 1.170461269736234, 30.874222380661532 1.1711527731316935, 30.877037502930442 1.1715703570734937, 30.87988 1.1717099999999998, 30.882722497069558 1.1715703570734937, 30.885537619338468 1.1711527731316935, 30.88829825564038 1.170461269736234, 30.890977819538588 1.1695025064428273, 30.893550505367955 1.1682857166661023, 30.895991536757567 1.1668226187567736, 30.898277405240744 1.1651273031475193, 30.900386096654408 1.1632160966544098, 30.90229730314752 1.1611074052407457, 30.903992618756774 1.1588215367575683, 30.9054557166661 1.156380505367954, 30.906672506442828 1.1538078195385875, 30.907631269736235 1.1511282556403792, 30.908322773131694 1.1483676193384675, 30.908740357073494 1.1455524970695572, 30.90888 1.14271))",4748
418,Uganda - Posha - 1011154,Kween,Posha,1011154,Complete,In Service,2020,3380.0,8642.0,"POLYGON ((34.595279000000005 1.372294, 34.59513935707349 1.3694515029304426, 34.594721773131695 1.3666363806615323, 34.59403026973624 1.3638757443596206, 34.593071506442826 1.3611961804614123, 34.591854716666106 1.358623494632046, 34.590391618756776 1.3561824632424315, 34.58869630314752 1.3538965947592543, 34.58678509665441 1.35178790334559, 34.58467640524075 1.3498766968524805, 34.58239053675757 1.3481813812432262, 34.579949505367956 1.3467182833338975, 34.57737681953859 1.3455014935571725, 34.57469725564038 1.3445427302637658, 34.571936619338466 1.3438512268683063, 34.56912149706956 1.3434336429265061, 34.566279 1.343294, 34.56343650293044 1.3434336429265061, 34.56062138066154 1.3438512268683063, 34.55786074435962 1.3445427302637658, 34.55518118046141 1.3455014935571725, 34.55260849463205 1.3467182833338975, 34.55016746324243 1.3481813812432262, 34.547881594759254 1.3498766968524805, 34.54577290334559 1.35178790334559, 34.54386169685248 1.3538965947592543, 34.54216638124323 1.3561824632424315, 34.5407032833339 1.358623494632046, 34.53948649355718 1.3611961804614123, 34.538527730263766 1.3638757443596206, 34.53783622686831 1.3666363806615323, 34.53741864292651 1.3694515029304426, 34.537279 1.372294, 34.53741864292651 1.3751364970695572, 34.53783622686831 1.3779516193384675, 34.538527730263766 1.3807122556403792, 34.53948649355718 1.3833918195385875, 34.5407032833339 1.385964505367954, 34.54216638124323 1.3884055367575683, 34.54386169685248 1.3906914052407455, 34.54577290334559 1.3928000966544098, 34.547881594759254 1.3947113031475193, 34.55016746324243 1.3964066187567736, 34.55260849463205 1.3978697166661023, 34.55518118046141 1.3990865064428273, 34.55786074435962 1.400045269736234, 34.56062138066154 1.4007367731316935, 34.56343650293044 1.4011543570734937, 34.566279 1.4012939999999998, 34.56912149706956 1.4011543570734937, 34.571936619338466 1.4007367731316935, 34.57469725564038 1.400045269736234, 34.57737681953859 1.3990865064428273, 34.579949505367956 1.3978697166661023, 34.58239053675757 1.3964066187567736, 34.58467640524075 1.3947113031475193, 34.58678509665441 1.3928000966544098, 34.58869630314752 1.3906914052407457, 34.590391618756776 1.3884055367575683, 34.591854716666106 1.385964505367954, 34.593071506442826 1.3833918195385875, 34.59403026973624 1.3807122556403792, 34.594721773131695 1.3779516193384675, 34.59513935707349 1.3751364970695572, 34.595279000000005 1.372294))",14241
423,Uganda - Bundimulinga- Kijumbu - 1025075,Bundibugyo,Bundimulinga- Kijumbu,1025075,Complete,In Service,2022,23520.0,,"POLYGON ((30.025557 0.673549, 30.025417357073493 0.6707065029304426, 30.024999773131693 0.6678913806615322, 30.024308269736235 0.6651307443596205, 30.023349506442827 0.6624511804614124, 30.0221327166661 0.6598784946320461, 30.020669618756774 0.6574374632424315, 30.01897430314752 0.6551515947592542, 30.017063096654407 0.6530429033455901, 30.014954405240744 0.6511316968524806, 30.012668536757566 0.6494363812432261, 30.010227505367954 0.6479732833338977, 30.007654819538587 0.6467564935571727, 30.004975255640378 0.6457977302637659, 30.002214619338467 0.6451062268683063, 29.999399497069557 0.6446886429265063, 29.996557 0.6445489999999999, 29.99371450293044 0.6446886429265063, 29.99089938066153 0.6451062268683063, 29.98813874435962 0.6457977302637659, 29.98545918046141 0.6467564935571727, 29.982886494632044 0.6479732833338977, 29.980445463242432 0.6494363812432261, 29.978159594759255 0.6511316968524806, 29.97605090334559 0.6530429033455901, 29.97413969685248 0.6551515947592542, 29.972444381243225 0.6574374632424315, 29.9709812833339 0.6598784946320461, 29.96976449355717 0.6624511804614124, 29.968805730263764 0.6651307443596205, 29.968114226868305 0.6678913806615322, 29.967696642926505 0.6707065029304426, 29.967557 0.673549, 29.967696642926505 0.6763914970695573, 29.968114226868305 0.6792066193384677, 29.968805730263764 0.6819672556403793, 29.96976449355717 0.6846468195385875, 29.9709812833339 0.6872195053679538, 29.972444381243225 0.6896605367575684, 29.97413969685248 0.6919464052407457, 29.97605090334559 0.6940550966544098, 29.978159594759255 0.6959663031475193, 29.980445463242432 0.6976616187567738, 29.982886494632044 0.6991247166661022, 29.98545918046141 0.7003415064428272, 29.98813874435962 0.701300269736234, 29.99089938066153 0.7019917731316936, 29.99371450293044 0.7024093570734936, 29.996557 0.702549, 29.999399497069557 0.7024093570734936, 30.002214619338467 0.7019917731316936, 30.004975255640378 0.701300269736234, 30.007654819538587 0.7003415064428272, 30.010227505367954 0.6991247166661022, 30.012668536757566 0.6976616187567738, 30.014954405240744 0.6959663031475193, 30.017063096654407 0.6940550966544098, 30.01897430314752 0.6919464052407457, 30.020669618756774 0.6896605367575684, 30.0221327166661 0.6872195053679538, 30.023349506442827 0.6846468195385875, 30.024308269736235 0.6819672556403794, 30.024999773131693 0.6792066193384677, 30.025417357073493 0.6763914970695573, 30.025557 0.673549))",32695
424,Uganda - Chemuron - 1021307,Bukwo,Chemuron,1021307,Complete,In Service,2022,1211.0,,"POLYGON ((34.777919000000004 1.416775, 34.77777935707349 1.4139325029304426, 34.777361773131695 1.4111173806615323, 34.776670269736236 1.4083567443596205, 34.775711506442825 1.4056771804614123, 34.774494716666105 1.403104494632046, 34.773031618756775 1.4006634632424315, 34.77133630314752 1.3983775947592543, 34.76942509665441 1.39626890334559, 34.76731640524075 1.3943576968524805, 34.76503053675757 1.3926623812432262, 34.762589505367956 1.3911992833338975, 34.76001681953859 1.3899824935571725, 34.75733725564038 1.3890237302637658, 34.754576619338465 1.3883322268683063, 34.75176149706956 1.3879146429265061, 34.748919 1.387775, 34.74607650293044 1.3879146429265061, 34.74326138066154 1.3883322268683063, 34.74050074435962 1.3890237302637658, 34.73782118046141 1.3899824935571725, 34.735248494632046 1.3911992833338975, 34.73280746324243 1.3926623812432262, 34.73052159475925 1.3943576968524805, 34.72841290334559 1.39626890334559, 34.72650169685248 1.3983775947592543, 34.724806381243226 1.4006634632424315, 34.7233432833339 1.403104494632046, 34.72212649355718 1.4056771804614123, 34.721167730263765 1.4083567443596205, 34.72047622686831 1.4111173806615323, 34.72005864292651 1.4139325029304426, 34.719919 1.416775, 34.72005864292651 1.4196174970695572, 34.72047622686831 1.4224326193384675, 34.721167730263765 1.4251932556403792, 34.72212649355718 1.4278728195385875, 34.7233432833339 1.430445505367954, 34.724806381243226 1.4328865367575683, 34.72650169685248 1.4351724052407455, 34.72841290334559 1.4372810966544098, 34.73052159475925 1.4391923031475193, 34.73280746324243 1.4408876187567736, 34.735248494632046 1.4423507166661023, 34.73782118046141 1.4435675064428273, 34.74050074435962 1.444526269736234, 34.74326138066154 1.4452177731316935, 34.74607650293044 1.4456353570734937, 34.748919 1.4457749999999998, 34.75176149706956 1.4456353570734937, 34.754576619338465 1.4452177731316935, 34.75733725564038 1.444526269736234, 34.76001681953859 1.4435675064428273, 34.762589505367956 1.4423507166661023, 34.76503053675757 1.4408876187567736, 34.76731640524075 1.4391923031475193, 34.76942509665441 1.4372810966544098, 34.77133630314752 1.4351724052407455, 34.773031618756775 1.4328865367575683, 34.774494716666105 1.430445505367954, 34.775711506442825 1.4278728195385875, 34.776670269736236 1.4251932556403792, 34.777361773131695 1.4224326193384675, 34.77777935707349 1.4196174970695572, 34.777919000000004 1.416775))",2044
508,Uganda - Kabwe-Mutiti - 1013820,Bundibugyo,Kabwe-Mutiti,1013820,Complete,,2022,5845.0,,"POLYGON ((30.017178 0.591305, 30.017038357073496 0.5884625029304427, 30.016620773131695 0.5856473806615322, 30.015929269736237 0.5828867443596205, 30.01497050644283 0.5802071804614124, 30.013753716666102 0.5776344946320461, 30.012290618756776 0.5751934632424315, 30.01059530314752 0.5729075947592542, 30.00868409665441 0.5707989033455901, 30.006575405240746 0.5688876968524806, 30.004289536757568 0.5671923812432261, 30.001848505367956 0.5657292833338977, 29.99927581953859 0.5645124935571727, 29.99659625564038 0.5635537302637659, 29.99383561933847 0.5628622268683063, 29.99102049706956 0.5624446429265063, 29.988178 0.5623049999999999, 29.985335502930443 0.5624446429265063, 29.982520380661533 0.5628622268683063, 29.979759744359622 0.5635537302637659, 29.977080180461414 0.5645124935571727, 29.974507494632046 0.5657292833338977, 29.972066463242435 0.5671923812432261, 29.969780594759257 0.5688876968524806, 29.967671903345593 0.5707989033455901, 29.96576069685248 0.5729075947592542, 29.964065381243227 0.5751934632424315, 29.9626022833339 0.5776344946320461, 29.961385493557174 0.5802071804614124, 29.960426730263766 0.5828867443596205, 29.959735226868307 0.5856473806615322, 29.959317642926507 0.5884625029304427, 29.959178 0.591305, 29.959317642926507 0.5941474970695573, 29.959735226868307 0.5969626193384677, 29.960426730263766 0.5997232556403793, 29.961385493557174 0.6024028195385875, 29.9626022833339 0.6049755053679539, 29.964065381243227 0.6074165367575685, 29.96576069685248 0.6097024052407457, 29.967671903345593 0.6118110966544098, 29.969780594759257 0.6137223031475193, 29.972066463242435 0.6154176187567738, 29.974507494632046 0.6168807166661022, 29.977080180461414 0.6180975064428272, 29.979759744359622 0.6190562697362341, 29.982520380661533 0.6197477731316936, 29.985335502930443 0.6201653570734936, 29.988178 0.620305, 29.99102049706956 0.6201653570734936, 29.99383561933847 0.6197477731316936, 29.99659625564038 0.6190562697362341, 29.99927581953859 0.6180975064428272, 30.001848505367956 0.6168807166661022, 30.004289536757568 0.6154176187567738, 30.006575405240746 0.6137223031475193, 30.00868409665441 0.6118110966544098, 30.01059530314752 0.6097024052407457, 30.012290618756776 0.6074165367575685, 30.013753716666102 0.6049755053679539, 30.01497050644283 0.6024028195385875, 30.015929269736237 0.5997232556403794, 30.016620773131695 0.5969626193384677, 30.017038357073496 0.5941474970695573, 30.017178 0.591305))",4746
571,Uganda - Lulwo - 1011066,Bukwo,Lulwo,1011066,Complete,In Service,2019,1626.0,417.0,"POLYGON ((34.840307 1.304767, 34.84016735707349 1.3019245029304427, 34.83974977313169 1.2991093806615324, 34.839058269736235 1.2963487443596207, 34.83809950644282 1.2936691804614124, 34.8368827166661 1.291096494632046, 34.835419618756774 1.2886554632424316, 34.83372430314752 1.2863695947592544, 34.83181309665441 1.28426090334559, 34.82970440524075 1.2823496968524806, 34.82741853675757 1.2806543812432263, 34.824977505367954 1.2791912833338976, 34.82240481953859 1.2779744935571726, 34.81972525564038 1.277015730263766, 34.816964619338464 1.2763242268683064, 34.81414949706956 1.2759066429265062, 34.811307 1.275767, 34.80846450293044 1.2759066429265062, 34.805649380661535 1.2763242268683064, 34.80288874435962 1.277015730263766, 34.80020918046141 1.2779744935571726, 34.797636494632044 1.2791912833338976, 34.79519546324243 1.2806543812432263, 34.79290959475925 1.2823496968524806, 34.79080090334559 1.28426090334559, 34.78888969685248 1.2863695947592544, 34.787194381243225 1.2886554632424316, 34.785731283333895 1.291096494632046, 34.784514493557175 1.2936691804614124, 34.783555730263764 1.2963487443596207, 34.782864226868305 1.2991093806615324, 34.78244664292651 1.3019245029304427, 34.782306999999996 1.304767, 34.78244664292651 1.3076094970695573, 34.782864226868305 1.3104246193384677, 34.783555730263764 1.3131852556403794, 34.784514493557175 1.3158648195385876, 34.785731283333895 1.318437505367954, 34.787194381243225 1.3208785367575684, 34.78888969685248 1.3231644052407456, 34.79080090334559 1.32527309665441, 34.79290959475925 1.3271843031475195, 34.79519546324243 1.3288796187567737, 34.797636494632044 1.3303427166661024, 34.80020918046141 1.3315595064428274, 34.80288874435962 1.332518269736234, 34.805649380661535 1.3332097731316936, 34.80846450293044 1.3336273570734938, 34.811307 1.333767, 34.81414949706956 1.3336273570734938, 34.816964619338464 1.3332097731316936, 34.81972525564038 1.332518269736234, 34.82240481953859 1.3315595064428274, 34.824977505367954 1.3303427166661024, 34.82741853675757 1.3288796187567737, 34.82970440524075 1.3271843031475195, 34.83181309665441 1.32527309665441, 34.83372430314752 1.3231644052407456, 34.835419618756774 1.3208785367575684, 34.8368827166661 1.318437505367954, 34.83809950644282 1.3158648195385876, 34.839058269736235 1.3131852556403794, 34.83974977313169 1.3104246193384677, 34.84016735707349 1.3076094970695573, 34.840307 1.304767))",5262
578,Uganda - Ruboni-Kyambogho - 1036926,Kasese,Ruboni-Kyambogho,1036926,Complete,,2022,6046.0,,"POLYGON ((30.060165 0.338481, 30.060025357073496 0.3356385029304427, 30.059607773131695 0.3328233806615323, 30.058916269736237 0.3300627443596206, 30.05795750644283 0.3273831804614124, 30.056740716666102 0.324810494632046, 30.055277618756776 0.3223694632424315, 30.05358230314752 0.3200835947592542, 30.05167109665441 0.3179749033455901, 30.049562405240746 0.3160636968524806, 30.04727653675757 0.3143683812432262, 30.044835505367956 0.3129052833338977, 30.04226281953859 0.3116884935571726, 30.03958325564038 0.3107297302637659, 30.03682261933847 0.3100382268683063, 30.03400749706956 0.3096206429265063, 30.031165 0.309481, 30.028322502930443 0.3096206429265063, 30.025507380661534 0.3100382268683063, 30.022746744359623 0.3107297302637659, 30.020067180461414 0.3116884935571726, 30.017494494632047 0.3129052833338977, 30.015053463242435 0.3143683812432261, 30.012767594759257 0.3160636968524806, 30.010658903345593 0.3179749033455901, 30.00874769685248 0.3200835947592542, 30.007052381243227 0.3223694632424315, 30.0055892833339 0.324810494632046, 30.004372493557174 0.3273831804614124, 30.003413730263766 0.3300627443596206, 30.002722226868308 0.3328233806615322, 30.002304642926507 0.3356385029304427, 30.002165 0.338481, 30.002304642926507 0.3413234970695572, 30.002722226868308 0.3441386193384677, 30.003413730263766 0.3468992556403794, 30.004372493557174 0.3495788195385876, 30.0055892833339 0.3521515053679539, 30.007052381243227 0.3545925367575684, 30.00874769685248 0.3568784052407457, 30.010658903345593 0.3589870966544099, 30.012767594759257 0.3608983031475194, 30.015053463242435 0.3625936187567738, 30.017494494632047 0.3640567166661023, 30.020067180461414 0.3652735064428273, 30.022746744359623 0.366232269736234, 30.025507380661534 0.3669237731316937, 30.028322502930443 0.3673413570734937, 30.031165 0.367481, 30.03400749706956 0.3673413570734937, 30.03682261933847 0.3669237731316937, 30.03958325564038 0.366232269736234, 30.04226281953859 0.3652735064428273, 30.044835505367956 0.3640567166661023, 30.04727653675757 0.3625936187567738, 30.049562405240746 0.3608983031475194, 30.05167109665441 0.3589870966544099, 30.05358230314752 0.3568784052407457, 30.055277618756776 0.3545925367575685, 30.056740716666102 0.3521515053679539, 30.05795750644283 0.3495788195385876, 30.058916269736237 0.3468992556403794, 30.059607773131695 0.3441386193384677, 30.060025357073496 0.3413234970695572, 30.060165 0.338481))",5154
